id;lat;long;modo
158;42.21386167;-44.17305;barco
159;39.94264263654432;-23.68178468320949;barco
160;44.67288726083747;30.659359786336765;barco
161;45.30012893435396;-59.83370130310291;barco
162;42.57570333;-66.84874;barco
163;34.49691667;-69.68301667;barco
164;11.53534167;-78.711475;barco
165;-1.12333333;-51.69645;barco
166;-17.22728333;160.7327;barco
167;-0.320802355881452;150.85036044346654;barco
168;-16.02728167;159.07302167;barco
169;3.22712333;-27.76787;barco
170;1.88736167;-6.18073333;barco
171;34.480909999999994;25.36888167;barco
172;14.00055833;-61.93427667;barco
173;-1.20452833;4.127269999999999;barco
174;-30.02418833;-45.99948667;barco
175;8.7579;-88.43045;barco
176;-26.81363;-78.93806;barco
177;-11.54806833;-80.96406833;barco
178;39.42965167;-129.166135;barco
179;-39.2483;-60.24022167;barco
180;25.06111667;-20.44421667;barco
181;15.107275;-30.52138333;barco
182;9.210623774231276;109.7879688749228;barco
183;-23.40562667;11.85184333;barco
184;1.81381667;6.83985;barco
185;-3.46408333;-3.01863333;barco
186;-10.13875;-14.89278333;barco
187;47.06632167;-143.75159333;barco
188;29.51953833;-172.04565667;barco
189;29.99654167;174.41727;barco
190;30.00005667;167.75530333;barco
191;29.99781167;155.452825;barco
192;30.00206833;147.09370167;barco
193;10.24728833;-106.635845;barco
194;16.17760167;-158.90649167;barco
195;23.01172;-174.877615;barco
196;14.265999999999998;-77.1965;barco
197;19.64;-112.345;barco
198;24.64966667;-126.758;barco
199;23.71564833;171.29349167;barco
200;28.41174667;152.18423;barco
201;45.96764333;176.83893333;barco
202;28.70652833;-79.54521167;barco
203;40.11913650151542;138.1430755144608;barco
204;45.99966667;-159.81366667;barco
205;43.9255;-150.87633333;barco
206;37.29713333;-133.09398333;barco
207;35.12751700598726;144.23007348120495;barco
208;42.29104;-162.557505;barco
209;11.94815833;-91.21767667;barco
210;40.32784833;-139.09385167;barco
211;55.62250167;175.61619667;barco
212;10.30887167;-96.47649667;barco
213;14.27023833;-122.61002167;barco
214;14.85660667;-129.057495;barco
215;16.86550114799482;-163.61814016952803;barco
216;18.10976333;-168.88455833;barco
217;41.96634;172.87116167;barco
218;37.67416;-162.60779667;barco
219;34.92896667;-130.2969;barco
220;7.407225;-82.59870500000001;barco
221;29.7925;-153.9025;barco
222;30.05233333;-163.94166667;barco
223;29.71585667;-121.301945;barco
224;49.52302333;-149.30044667;barco
225;47.56423333;-169.51478333;barco
226;31.52618333;-123.34928333;barco
227;44.92031667;-153.95185;barco
228;27.39653333;-117.42846667;barco
229;47.80921667;170.76263333;barco
230;25.16902833;-75.589435;barco
231;26.18598333;-115.6992;barco
232;30.204215;-175.22402667;barco
233;33.92964;154.38898999999998;barco
234;37.13513;2.82453;barco
235;28.6846;-33.48998333;barco
236;20.592465;-52.60057333;barco
237;-24.28225667;36.44836;barco
238;-19.67204667;58.81645833;barco
239;1.5776578655040878;66.36535324021702;barco
240;-9.05788833;65.662275;barco
241;-0.17371667;78.3137;barco
242;-7.45214333;-31.61002833;barco
243;-29.99287;3.15140333;barco
244;-24.12728333;-46.04526667;barco
245;-14.013329999999998;-38.47238667;barco
246;2.19760833;90.08716333;barco
247;40.92359333;-46.33781333;barco
248;13.57508833;-131.15947167;barco
249;21.18615667;-146.84414833;barco
250;28.942425;-166.783845;barco
251;14.49696;-147.83684667;barco
252;19.64600667;-95.79412;barco
253;2.32454667;140.74252667;barco
254;13.37827087079658;94.56897051437016;barco
255;20.90748167;-108.53387;barco
256;34.61529;135.29893167;barco
257;35.60308955144137;139.8018963234775;barco
258;39.66258333;152.99941667;barco
259;36.01579833;-122.92276167;barco
260;35.5456;-49.8738;barco
261;30.74813333;-63.463;barco
262;23.54418333;-97.04686333;barco
263;20.83322333;-93.18259833;barco
264;21.94626333;-110.15278333;barco
265;25.98759833;-54.98358667;barco
266;32.85151;-38.65308;barco
267;23.92104167;-59.64059333;barco
268;19.16707;-57.56374667;barco
269;12.76214167;-73.11662;barco
270;29.06671833;-116.203965;barco
271;38.66621667;-124.21235;barco
272;34.40129;-120.87022833;barco
273;44.40226333;-125.36666333;barco
274;47.62430833;-175.15236167;barco
275;13.79103333;-95.47108667;barco
276;9.74466;-79.96804167;barco
277;16.62428333;-120.51593333;barco
278;23.77028333;128.5994;barco
279;20.43973333;70.97633333;barco
280;38.99452;-59.34928667;barco
281;-26.76485667;-41.38136167;barco
282;7.074295615697131;68.66105923606797;barco
283;-14.44766667;-16.7345;barco
284;6.7285;-41.44816667;barco
285;-30.17673333;7.59229667;barco
286;-35.49726333;-42.991315;barco
287;-35.49814;-35.96686333;barco
288;37.011041748;126.75094920011004;barco
289;-3.60790667;10.15811833;barco
290;-15.86767833;11.17471333;barco
291;-10.42038167;-3.15585167;barco
292;-8.46999106420002;-2.9028839917642397;barco
293;-2.52022;0.99831167;barco
294;5.716965;103.414195;barco
295;-9.21367167;132.34802833;barco
296;-7.584339999999999;119.97597;barco
297;26.7785509317851;34.639040180953124;barco
298;10.53547;66.55306833;barco
299;21.02635578352941;87.89961107705882;barco
300;4.13591;66.74597167;barco
301;-27.186925;39.50593167;barco
302;-11.46423667;66.42403833;barco
303;-18.89840333;56.92924833;barco
304;1.20339;75.00843333;barco
305;-2.63339333;96.22109167;barco
306;-16.725579999999997;145.84534167;barco
307;-8.26423667;108.35250333;barco
308;-10.46336333;138.816875;barco
309;-9.6644;134.57781667;barco
310;-14.75181833;110.28605833;barco
311;20.98856667;108.86761667;barco
312;-14.43482833;114.36951167;barco
313;-34.6164;115.0752;barco
314;37.15205833;-72.47767833;barco
315;11.16956255186094;-65.0712378925341;barco
316;27.04411667;-74.25673499999999;barco
317;22.98733333;-86.48695;barco
318;19.174145000000003;-82.59076833;barco
319;-7.07511667;-27.7381;barco
320;-12.5855;-20.93636667;barco
321;-11.74446167;146.71642667;barco
322;-9.57338;143.43105833;barco
323;-23.22212333;159.00217;barco
324;-30.88337167;172.55545167;barco
325;-34.108845;174.29232333;barco
326;-33.390485;29.87411833;barco
327;-3.16234667;8.38017667;barco
328;18.51351667;88.55663333;barco
329;32.97156167;-58.17301833;barco
330;15.31441667;-75.43416667;barco
331;20.920070000000003;-84.85018833;barco
332;2.78503333;-16.87121667;barco
333;-14.89571667;-2.4689;barco
334;-23.0636;5.1072;barco
335;-6.96075667;149.14235667;barco
336;-35.22287167;117.594795;barco
337;-29.65466833;70.10401;barco
338;-31.93504;47.82360333;barco
339;-27.25301667;12.03599667;barco
340;-26.69949667;153.92257333;barco
341;-30.83706667;153.70824667;barco
342;-34.16617833;152.14699167;barco
343;-33.78448833;93.680955;barco
344;-34.00232167;61.28365;barco
345;-34.17897833;33.19082333;barco
346;5.22241667;-39.80398833;barco
347;12.50506833;-35.55425833;barco
348;28.94406667;-21.61651667;barco
349;47.05966667;-39.53366667;barco
350;46.85555167;-57.54284167;barco
351;45.32486833;-40.87193333;barco
