id;lat;long;modo
1189.0;-9.330366131999996;32.8021;tren
1822.0;44.31613386800001;66.47030000000001;tren
2320.0;15.608933868000008;-16.23090000000002;tren
2855.0;28.355333868;115.93219999999997;tren
3182.0;13.076133868;-1.0828000000000202;tren
4412.0;-15.999966131999996;-47.95800000000003;tren
5244.0;22.739333868000017;-98.31599999999996;tren
8071.0;-12.439166132000024;130.84569999999997;tren
8513.0;10.455033867999989;51.22379999999998;tren
10610.0;41.109133868000015;95.4925;tren
12335.0;-43.26836613199998;-65.339;tren
13436.0;24.252533868;47.3691;tren
14731.0;-33.61926613200001;22.213799999999992;tren
14777.0;-15.840366131999986;28.000499999999988;tren
15070.0;20.589933868000003;-90.0;tren
15258.0;-40.912766132;175.02049999999997;tren
17069.0;13.21943386800001;123.75310000000002;tren
17234.0;22.106833868000024;-159.3155;tren
18397.0;5.970133868000005;-1.7848000000000184;tren
21333.0;-10.600774;23.013333999999983;tren
23312.0;-45.86506613199998;170.5331;tren
25796.0;-29.89956613200001;-54.81360000000001;tren
26708.0;-15.551766132000012;-74.8587;tren
29264.0;-26.788666132000003;15.168900000000008;tren
30182.0;12.869833868;10.448699999999974;tren
30646.0;24.000133867999978;78.07389999999998;tren
31312.0;-4.846672000000012;21.57735600000001;tren
31315.0;11.612133868;43.137;tren
31577.0;17.441533868000022;96.8865;tren
32481.0;-28.820166132;114.69029999999998;tren
32509.0;-28.620866132000003;122.3999;tren
33201.0;9.954333867999992;-84.08870000000002;tren
34337.0;-33.487966132;115.72749999999996;tren
35075.0;44.39053386799998;85.00009999999997;tren
35999.0;41.32503386799999;61.0523;tren
36025.0;51.23823386800001;46.9495;tren
37066.0;-0.298566132000019;102.2631;tren
37383.0;43.925933868000016;-100.23649999999998;tren
37840.0;40.92823386800001;109.7833;tren
37981.0;-43.541166132;172.52210000000002;tren
38704.0;-12.029566132000014;-77.05590000000001;tren
38705.0;-12.545566131999976;-38.293000000000006;tren
38718.0;39.434833868;45.03230000000002;tren
39651.0;39.71033386800002;64.53949999999998;tren
40498.0;5.658033868000018;0.0;tren
42421.0;63.80543386800002;11.488400000000013;tren
43200.0;28.93833386799997;118.85810000000004;tren
43817.0;-17.811166131999983;35.33749999999998;tren
44715.0;31.519733868000003;25.0607;tren
45133.0;45.847433868;-112.1198;tren
45271.0;36.39033386800003;119.74469999999997;tren
46140.0;19.215233867999984;108.9371;tren
47082.0;-2.799166131999982;108.1703;tren
47114.0;30.58173386800001;66.72809999999998;tren
47476.0;-6.762866131999999;37.7817;tren
48763.0;36.592533867999975;62.50490000000002;tren
49133.0;46.05933386800001;62.93009999999998;tren
49916.0;36.731033868;104.84089999999998;tren
50242.0;-28.454866132000006;21.260100000000023;tren
50252.0;-14.616966132000016;15.407699999999975;tren
50253.0;9.714933868000005;0.7583000000000197;tren
50256.0;7.177333868000005;2.071700000000021;tren
